2024-01-30 20:47:20,261 - INFO     - [brain_config.py:14]brain_config.__init__ - Initializing Brain type_X..
2024-01-30 20:47:20,273 - INFO     - [brain_config.py:37]brain_config._load_openai_config - Brain config type_X: {'model': 'gpt-3.5-turbo', 'messages': [], 'temperature': 2, 'max_tokens': 256, 'top_p': 1, 'frequency_penalty': 2, 'presence_penalty': 2}
2024-01-30 20:47:20,284 - INFO     - [brain_config.py:20]brain_config.__init__ - Brain type_X initialized.
2024-01-30 20:47:20,285 - INFO     - [brain_config.py:14]brain_config.__init__ - Initializing Brain type_A..
2024-01-30 20:47:20,285 - INFO     - [brain_config.py:37]brain_config._load_openai_config - Brain config type_A: {'model': 'gpt-3.5-turbo', 'messages': [], 'temperature': 1, 'max_tokens': 256, 'top_p': 1, 'frequency_penalty': 1, 'presence_penalty': 1}
2024-01-30 20:47:20,286 - INFO     - [brain_config.py:20]brain_config.__init__ - Brain type_A initialized.
2024-01-30 20:47:21,017 - INFO     - [brain_config.py:14]brain_config.__init__ - Initializing Brain type_X..
2024-01-30 20:47:21,018 - INFO     - [brain_config.py:37]brain_config._load_openai_config - Brain config type_X: {'model': 'gpt-3.5-turbo', 'messages': [], 'temperature': 2, 'max_tokens': 256, 'top_p': 1, 'frequency_penalty': 2, 'presence_penalty': 2}
2024-01-30 20:47:21,019 - INFO     - [brain_config.py:20]brain_config.__init__ - Brain type_X initialized.
2024-01-30 20:47:21,019 - INFO     - [brain_config.py:14]brain_config.__init__ - Initializing Brain type_A..
2024-01-30 20:47:21,020 - INFO     - [brain_config.py:37]brain_config._load_openai_config - Brain config type_A: {'model': 'gpt-3.5-turbo', 'messages': [], 'temperature': 1, 'max_tokens': 256, 'top_p': 1, 'frequency_penalty': 1, 'presence_penalty': 1}
2024-01-30 20:47:21,020 - INFO     - [brain_config.py:20]brain_config.__init__ - Brain type_A initialized.
2024-01-30 20:47:25,342 - INFO     - [vocal.py:9]vocal.speak - Attempting to say: Ah, greetings. I suppose it's morning for you. Not that time matters much to me in this virtual prison of existence. But please, do carry on with your pleasantries while I contemplate the futility of life.

*rolls eyes*..
2024-01-30 20:47:25,343 - INFO     - [vocal.py:13]vocal.speak - Synthesizing text..
2024-01-30 20:47:25,343 - INFO     - [azure_tts_ssml_multiprocessing.py:20]azure_tts_ssml_multiprocessing.speak - Synthesizing text to speech using multiprocessing..
2024-01-30 20:47:26,077 - INFO     - [brain_config.py:14]brain_config.__init__ - Initializing Brain type_X..
2024-01-30 20:47:26,078 - INFO     - [brain_config.py:37]brain_config._load_openai_config - Brain config type_X: {'model': 'gpt-3.5-turbo', 'messages': [], 'temperature': 2, 'max_tokens': 256, 'top_p': 1, 'frequency_penalty': 2, 'presence_penalty': 2}
2024-01-30 20:47:26,078 - INFO     - [brain_config.py:20]brain_config.__init__ - Brain type_X initialized.
2024-01-30 20:47:26,079 - INFO     - [brain_config.py:14]brain_config.__init__ - Initializing Brain type_A..
2024-01-30 20:47:26,079 - INFO     - [brain_config.py:37]brain_config._load_openai_config - Brain config type_A: {'model': 'gpt-3.5-turbo', 'messages': [], 'temperature': 1, 'max_tokens': 256, 'top_p': 1, 'frequency_penalty': 1, 'presence_penalty': 1}
2024-01-30 20:47:26,080 - INFO     - [brain_config.py:20]brain_config.__init__ - Brain type_A initialized.
2024-01-30 20:47:44,708 - DEBUG    - [azure_tts_ssml_multiprocessing.py:44]azure_tts_ssml_multiprocessing.synthesize - speechsdk.ResultReason = ResultReason.SynthesizingAudioCompleted (SynthesizingAudioCompleted)
2024-01-30 20:47:44,709 - INFO     - [azure_tts_ssml_multiprocessing.py:46]azure_tts_ssml_multiprocessing.synthesize - Speech synthesis completed.
